code_commune,nb_medecins
44001,1
44002,4
44003,13
44005,4
44006,2
44009,10
44012,3
44013,1
44014,5
44015,10
44018,8
44020,16
44021,3
44022,6
44023,2
44024,3
44025,4
44026,16
44027,5
44028,2
44029,8
44030,1
44032,2
44033,3
44035,19
44036,13
44037,2
44038,1
44039,1
44041,4
44043,8
44045,3
44046,3
44047,16
44048,3
44049,2
44050,1
44051,4
44052,3
44053,1
44054,1
44055,21
44056,2
44057,1
44061,4
44062,1
44063,5
44064,3
44066,7
44067,2
44068,2
44069,27
44070,4
44071,7
44072,5
44073,9
44074,9
44075,1
44077,1
44079,2
44081,6
44082,1
44084,14
44087,5
44088,1
44089,2
44091,1
44094,9
44096,4
44097,1
44098,5
44099,4
44100,2
44101,9
44102,1
44103,2
44106,1
44109,380
44110,13
44111,1
44113,5
44114,27
44116,1
44117,2
44119,1
44120,4
44126,2
44127,2
44128,4
44129,9
44130,9
44131,25
44132,17
44133,3
44135,11
44136,1
44137,2
44138,1
44142,2
44143,81
44144,3
44145,2
44150,2
44151,4
44152,4
44154,6
44155,3
44156,2
44158,7
44161,3
44162,59
44163,4
44166,5
44168,2
44169,5
44170,1
44172,15
44174,1
44175,2
44176,1
44178,1
44179,3
44180,2
44182,5
44183,3
44184,88
44185,1
44186,5
44187,6
44188,11
44189,3
44190,23
44192,1
44193,1
44194,8
44195,11
44198,9
44201,7
44202,1
44203,2
44204,15
44206,1
44209,8
44210,6
44211,7
44212,14
44213,3
44215,31
44216,2
44217,4
44223,4
