REG,Région,DEP,CODARR,CODCAN,CODCOM,COM,Commune,PMUN,PCAP,PTOT,code_departement
52,Pays de la Loire,44,5,08,1,44001,Abbaretz,2052,40,2092,44
52,Pays de la Loire,44,2,07,2,44002,Aigrefeuille-sur-Maine,4121,142,4263,44
52,Pays de la Loire,44,5,01,3,44003,Ancenis-Saint-Géréon,11346,423,11769,44
52,Pays de la Loire,44,3,,5,44005,Chaumes-en-Retz,7288,112,7400,44
52,Pays de la Loire,44,3,09,6,44006,Assérac,1881,47,1928,44
52,Pays de la Loire,44,5,19,7,44007,Avessac,2451,64,2515,44
52,Pays de la Loire,44,2,29,9,44009,Basse-Goulaine,9617,215,9832,44
52,Pays de la Loire,44,3,02,10,44010,Batz-sur-Mer,2799,95,2894,44
52,Pays de la Loire,44,3,20,12,44012,La Bernerie-en-Retz,3523,45,3568,44
52,Pays de la Loire,44,3,27,13,44013,Besné,3317,42,3359,44
52,Pays de la Loire,44,2,28,14,44014,Le Bignon,3967,71,4038,44
52,Pays de la Loire,44,5,03,15,44015,Blain,10352,175,10527,44
52,Pays de la Loire,44,2,30,16,44016,La Boissière-du-Doré,1114,17,1131,44
52,Pays de la Loire,44,2,21,18,44018,Bouaye,8281,138,8419,44
52,Pays de la Loire,44,3,03,19,44019,Bouée,1100,12,1112,44
52,Pays de la Loire,44,2,21,20,44020,Bouguenais,20590,303,20893,44
52,Pays de la Loire,44,3,10,21,44021,Villeneuve-en-Retz,5004,85,5089,44
52,Pays de la Loire,44,2,07,22,44022,Boussay,2814,51,2865,44
52,Pays de la Loire,44,5,03,23,44023,Bouvron,3067,45,3112,44
52,Pays de la Loire,44,2,21,24,44024,Brains,2760,55,2815,44
52,Pays de la Loire,44,3,03,25,44025,Campbon,4031,67,4098,44
52,Pays de la Loire,44,2,04,26,44026,Carquefou,20535,589,21124,44
52,Pays de la Loire,44,5,18,27,44027,Casson,2600,44,2644,44
52,Pays de la Loire,44,5,18,28,44028,Le Cellier,4011,105,4116,44
52,Pays de la Loire,44,2,30,29,44029,Divatte-sur-Loire,7158,117,7275,44
52,Pays de la Loire,44,3,09,30,44030,La Chapelle-des-Marais,4424,95,4519,44
52,Pays de la Loire,44,5,06,31,44031,La Chapelle-Glain,811,15,826,44
52,Pays de la Loire,44,2,30,32,44032,La Chapelle-Heulin,3443,72,3515,44
52,Pays de la Loire,44,3,03,33,44033,La Chapelle-Launay,3246,66,3312,44
52,Pays de la Loire,44,2,05,35,44035,La Chapelle-sur-Erdre,20483,573,21056,44
52,Pays de la Loire,44,5,06,36,44036,Châteaubriant,12231,431,12662,44
52,Pays de la Loire,44,2,31,37,44037,Château-Thébaud,3138,212,3350,44
52,Pays de la Loire,44,3,20,38,44038,Chauvé,3035,39,3074,44
52,Pays de la Loire,44,2,10,39,44039,Cheix-en-Retz,1172,16,1188,44
52,Pays de la Loire,44,2,28,41,44041,La Chevrolière,6342,107,6449,44
52,Pays de la Loire,44,2,07,43,44043,Clisson,7459,278,7737,44
52,Pays de la Loire,44,5,08,44,44044,Conquereuil,1072,25,1097,44
52,Pays de la Loire,44,2,03,45,44045,Cordemais,3954,49,4003,44
52,Pays de la Loire,44,3,23,46,44046,Corsept,2615,59,2674,44
52,Pays de la Loire,44,2,24,47,44047,Couëron,23541,267,23808,44
52,Pays de la Loire,44,5,01,48,44048,Couffé,2534,44,2578,44
52,Pays de la Loire,44,3,02,49,44049,Le Croisic,4081,57,4138,44
52,Pays de la Loire,44,3,19,50,44050,Crossac,2985,62,3047,44
52,Pays de la Loire,44,5,08,51,44051,Derval,3578,337,3915,44
52,Pays de la Loire,44,3,27,52,44052,Donges,8117,84,8201,44
52,Pays de la Loire,44,3,19,53,44053,Drefféac,2288,39,2327,44
52,Pays de la Loire,44,5,06,54,44054,Erbray,3062,60,3122,44
52,Pays de la Loire,44,3,02,55,44055,La Baule-Escoublac,16613,551,17164,44
52,Pays de la Loire,44,5,05,56,44056,Fay-de-Bretagne,3852,63,3915,44
52,Pays de la Loire,44,5,19,57,44057,Fégréac,2257,56,2313,44
52,Pays de la Loire,44,5,06,58,44058,Fercé,502,9,511,44
52,Pays de la Loire,44,3,23,61,44061,Frossay,3289,56,3345,44
